"näringsgren SNI 2007","år","tabellinnehåll","Basfakta företag enligt Företagens ekonomi"
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2022","Antal anställda",14332
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2022","Nettoomsättning, mnkr",51132
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2022","Förädlingsvärde, mnkr",11245
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2022","Summa tillgångar, mnkr",57222
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2022","Bruttoinvesteringar, mnkr",2717
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2022","Nettoinvesteringar, mnkr",2347
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2023","Antal företag",1875
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2023","Antal anställda",13711
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2023","Nettoomsättning, mnkr",44371
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2023","Förädlingsvärde, mnkr",10968
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2023","Summa tillgångar, mnkr",55077
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2023","Bruttoinvesteringar, mnkr",1735
"16.23 tillverkning av andra byggnads- och inredningssnickerier","2023","Nettoinvesteringar, mnkr",1232
"16.24 träförpackningstillverkning","2022","Antal företag",242
"16.24 träförpackningstillverkning","2022","Antal anställda",1644
"16.24 träförpackningstillverkning","2022","Nettoomsättning, mnkr",6397
"16.24 träförpackningstillverkning","2022","Förädlingsvärde, mnkr",2110
"16.24 träförpackningstillverkning","2022","Summa tillgångar, mnkr",6027
"16.24 träförpackningstillverkning","2022","Bruttoinvesteringar, mnkr",265
"16.24 träförpackningstillverkning","2022","Nettoinvesteringar, mnkr",252
"16.24 träförpackningstillverkning","2023","Antal företag",237
"16.24 träförpackningstillverkning","2023","Antal anställda",1706
"16.24 träförpackningstillverkning","2023","Nettoomsättning, mnkr",5728
"16.24 träförpackningstillverkning","2023","Förädlingsvärde, mnkr",1874
"16.24 träförpackningstillverkning","2023","Summa tillgångar, mnkr",9638
"16.24 träförpackningstillverkning","2023","Bruttoinvesteringar, mnkr",198
"16.24 träförpackningstillverkning","2023","Nettoinvesteringar, mnkr",171
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2022","Antal företag",949
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2022","Antal anställda",1162
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2022","Nettoomsättning, mnkr",4765
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2022","Förädlingsvärde, mnkr",1299
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2022","Summa tillgångar, mnkr",4827
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2022","Bruttoinvesteringar, mnkr",224
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2022","Nettoinvesteringar, mnkr",179
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2023","Antal företag",973
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2023","Antal anställda",1151
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2023","Nettoomsättning, mnkr",4522
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2023","Förädlingsvärde, mnkr",1462
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2023","Summa tillgångar, mnkr",5843
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2023","Bruttoinvesteringar, mnkr",247
"16.29 övrig trävarutillverkning; tillverkning av varor av kork, halm, rotting o.d.","2023","Nettoinvesteringar, mnkr",209
"17 pappers- och pappersvarutillverkning","2022","Antal företag",246
"17 pappers- och pappersvarutillverkning","2022","Antal anställda",31017
"17 pappers- och pappersvarutillverkning","2022","Nettoomsättning, mnkr",216078
"17 pappers- och pappersvarutillverkning","2022","Förädlingsvärde, mnkr",75922
"17 pappers- och pappersvarutillverkning","2022","Summa tillgångar, mnkr",355603
"17 pappers- och pappersvarutillverkning","2022","Bruttoinvesteringar, mnkr",15919
"17 pappers- och pappersvarutillverkning","2022","Nettoinvesteringar, mnkr",14256
"17 pappers- och pappersvarutillverkning","2023","Antal företag",247
"17 pappers- och pappersvarutillverkning","2023","Antal anställda",30947
"17 pappers- och pappersvarutillverkning","2023","Nettoomsättning, mnkr",201107
"17 pappers- och pappersvarutillverkning","2023","Förädlingsvärde, mnkr",47792
"17 pappers- och pappersvarutillverkning","2023","Summa tillgångar, mnkr",358843
"17 pappers- och pappersvarutillverkning","2023","Bruttoinvesteringar, mnkr",14699
"17 pappers- och pappersvarutillverkning","2023","Nettoinvesteringar, mnkr",14413
"17 pappers- och pappersvarutillverkning","2022","Antal företag",246
"17 pappers- och pappersvarutillverkning","2022","Antal anställda",31017
"17 pappers- och pappersvarutillverkning","2022","Nettoomsättning, mnkr",216078
"17 pappers- och pappersvarutillverkning","2022","Förädlingsvärde, mnkr",75922
"17 pappers- och pappersvarutillverkning","2022","Summa tillgångar, mnkr",355603
"17 pappers- och pappersvarutillverkning","2022","Bruttoinvesteringar, mnkr",15919
"17 pappers- och pappersvarutillverkning","2022","Nettoinvesteringar, mnkr",14256
"17 pappers- och pappersvarutillverkning","2023","Antal företag",247
"17 pappers- och pappersvarutillverkning","2023","Antal anställda",30947
"17 pappers- och pappersvarutillverkning","2023","Nettoomsättning, mnkr",201107
"17 pappers- och pappersvarutillverkning","2023","Förädlingsvärde, mnkr",47792
"17 pappers- och pappersvarutillverkning","2023","Summa tillgångar, mnkr",358843
"17 pappers- och pappersvarutillverkning","2023","Bruttoinvesteringar, mnkr",14699
"17 pappers- och pappersvarutillverkning","2023","Nettoinvesteringar, mnkr",14413
"17.1 massa-, pappers- och papptillverkning","2022","Antal företag",54
"17.1 massa-, pappers- och papptillverkning","2022","Antal anställda",22803
"17.1 massa-, pappers- och papptillverkning","2022","Nettoomsättning, mnkr",175974
"17.1 massa-, pappers- och papptillverkning","2022","Förädlingsvärde, mnkr",61848
"17.1 massa-, pappers- och papptillverkning","2022","Summa tillgångar, mnkr",317722
"17.1 massa-, pappers- och papptillverkning","2022","Bruttoinvesteringar, mnkr",14597
"17.1 massa-, pappers- och papptillverkning","2022","Nettoinvesteringar, mnkr",12988
"17.1 massa-, pappers- och papptillverkning","2023","Antal företag",57
"17.1 massa-, pappers- och papptillverkning","2023","Antal anställda",22516
"17.1 massa-, pappers- och papptillverkning","2023","Nettoomsättning, mnkr",158911
"17.1 massa-, pappers- och papptillverkning","2023","Förädlingsvärde, mnkr",32865
"17.1 massa-, pappers- och papptillverkning","2023","Summa tillgångar, mnkr",311562
"17.1 massa-, pappers- och papptillverkning","2023","Bruttoinvesteringar, mnkr",12477
"17.1 massa-, pappers- och papptillverkning","2023","Nettoinvesteringar, mnkr",12296
"17.11 massatillverkning","2022","Antal företag",10
"17.11 massatillverkning","2022","Antal anställda",4009
"17.11 massatillverkning","2022","Nettoomsättning, mnkr",..
"17.11 massatillverkning","2022","Förädlingsvärde, mnkr",..
"17.11 massatillverkning","2022","Summa tillgångar, mnkr",..
"17.11 massatillverkning","2022","Bruttoinvesteringar, mnkr",..
"17.11 massatillverkning","2022","Nettoinvesteringar, mnkr",..
"17.11 massatillverkning","2023","Antal företag",10
"17.11 massatillverkning","2023","Antal anställda",4176
"17.11 massatillverkning","2023","Nettoomsättning, mnkr",..
"17.11 massatillverkning","2023","Förädlingsvärde, mnkr",..
"17.11 massatillverkning","2023","Summa tillgångar, mnkr",..
"17.11 massatillverkning","2023","Bruttoinvesteringar, mnkr",..
"17.11 massatillverkning","2023","Nettoinvesteringar, mnkr",..
"17.12 pappers- och papptillverkning","2022","Antal företag",44
"17.12 pappers- och papptillverkning","2022","Antal anställda",18794
"17.12 pappers- och papptillverkning","2022","Nettoomsättning, mnkr",..
"17.12 pappers- och papptillverkning","2022","Förädlingsvärde, mnkr",..
"17.12 pappers- och papptillverkning","2022","Summa tillgångar, mnkr",..
"17.12 pappers- och papptillverkning","2022","Bruttoinvesteringar, mnkr",..
"17.12 pappers- och papptillverkning","2022","Nettoinvesteringar, mnkr",..
"17.12 pappers- och papptillverkning","2023","Antal företag",47
"17.12 pappers- och papptillverkning","2023","Antal anställda",18340
"17.12 pappers- och papptillverkning","2023","Nettoomsättning, mnkr",..
"17.12 pappers- och papptillverkning","2023","Förädlingsvärde, mnkr",..
"17.12 pappers- och papptillverkning","2023","Summa tillgångar, mnkr",..
"17.12 pappers- och papptillverkning","2023","Bruttoinvesteringar, mnkr",..
"17.12 pappers- och papptillverkning","2023","Nettoinvesteringar, mnkr",..
"17.2 tillverkning av pappers- och pappvaror","2022","Antal företag",192
"17.2 tillverkning av pappers- och pappvaror","2022","Antal anställda",8214
"17.2 tillverkning av pappers- och pappvaror","2022","Nettoomsättning, mnkr",40104
"17.2 tillverkning av pappers- och pappvaror","2022","Förädlingsvärde, mnkr",14075
"17.2 tillverkning av pappers- och pappvaror","2022","Summa tillgångar, mnkr",37881
"17.2 tillverkning av pappers- och pappvaror","2022","Bruttoinvesteringar, mnkr",1322
"17.2 tillverkning av pappers- och pappvaror","2022","Nettoinvesteringar, mnkr",1268
"17.2 tillverkning av pappers- och pappvaror","2023","Antal företag",190
"17.2 tillverkning av pappers- och pappvaror","2023","Antal anställda",8431
"17.2 tillverkning av pappers- och pappvaror","2023","Nettoomsättning, mnkr",42195
"17.2 tillverkning av pappers- och pappvaror","2023","Förädlingsvärde, mnkr",14927
"17.2 tillverkning av pappers- och pappvaror","2023","Summa tillgångar, mnkr",47281
"17.2 tillverkning av pappers- och pappvaror","2023","Bruttoinvesteringar, mnkr",2222
"17.2 tillverkning av pappers- och pappvaror","2023","Nettoinvesteringar, mnkr",2116
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2022","Antal företag",62
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2022","Antal anställda",3955
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2022","Nettoomsättning, mnkr",18952
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2022","Förädlingsvärde, mnkr",6432
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2022","Summa tillgångar, mnkr",20823
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2022","Bruttoinvesteringar, mnkr",707
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2022","Nettoinvesteringar, mnkr",688
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2023","Antal företag",65
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2023","Antal anställda",4341
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2023","Nettoomsättning, mnkr",19530
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2023","Förädlingsvärde, mnkr",5994
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2023","Summa tillgångar, mnkr",29267
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2023","Bruttoinvesteringar, mnkr",764
"17.21 tillverkning av wellpapp och pappers- och pappförpackningar","2023","Nettoinvesteringar, mnkr",672
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2022","Antal företag",22
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2022","Antal anställda",3186
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2022","Nettoomsättning, mnkr",17575
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2022","Förädlingsvärde, mnkr",6516
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2022","Summa tillgångar, mnkr",13647
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2022","Bruttoinvesteringar, mnkr",475
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2022","Nettoinvesteringar, mnkr",458
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2023","Antal företag",21
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2023","Antal anställda",3141
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2023","Nettoomsättning, mnkr",19562
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2023","Förädlingsvärde, mnkr",7908
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2023","Summa tillgångar, mnkr",14790
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2023","Bruttoinvesteringar, mnkr",1324
"17.22 tillverkning av hushålls- och hygienartiklar av papper","2023","Nettoinvesteringar, mnkr",1319
"17.23 tillverkning av skrivpapper, kuvert o.d.","2022","Antal företag",21
"17.23 tillverkning av skrivpapper, kuvert o.d.","2022","Antal anställda",152
"17.23 tillverkning av skrivpapper, kuvert o.d.","2022","Nettoomsättning, mnkr",474
"17.23 tillverkning av skrivpapper, kuvert o.d.","2022","Förädlingsvärde, mnkr",159
"17.23 tillverkning av skrivpapper, kuvert o.d.","2022","Summa tillgångar, mnkr",1049
"17.23 tillverkning av skrivpapper, kuvert o.d.","2022","Bruttoinvesteringar, mnkr",17
"17.23 tillverkning av skrivpapper, kuvert o.d.","2022","Nettoinvesteringar, mnkr",17
"17.23 tillverkning av skrivpapper, kuvert o.d.","2023","Antal företag",19
"17.23 tillverkning av skrivpapper, kuvert o.d.","2023","Antal anställda",146
"17.23 tillverkning av skrivpapper, kuvert o.d.","2023","Nettoomsättning, mnkr",445
"17.23 tillverkning av skrivpapper, kuvert o.d.","2023","Förädlingsvärde, mnkr",140
"17.23 tillverkning av skrivpapper, kuvert o.d.","2023","Summa tillgångar, mnkr",936
"17.23 tillverkning av skrivpapper, kuvert o.d.","2023","Bruttoinvesteringar, mnkr",11
"17.23 tillverkning av skrivpapper, kuvert o.d.","2023","Nettoinvesteringar, mnkr",8
"17.24 tapettillverkning","2022","Antal företag",12
"17.24 tapettillverkning","2022","Antal anställda",211
"17.24 tapettillverkning","2022","Nettoomsättning, mnkr",691
"17.24 tapettillverkning","2022","Förädlingsvärde, mnkr",235
"17.24 tapettillverkning","2022","Summa tillgångar, mnkr",724
"17.24 tapettillverkning","2022","Bruttoinvesteringar, mnkr",45
"17.24 tapettillverkning","2022","Nettoinvesteringar, mnkr",44
"17.24 tapettillverkning","2023","Antal företag",10
"17.24 tapettillverkning","2023","Antal anställda",202
"17.24 tapettillverkning","2023","Nettoomsättning, mnkr",773
"17.24 tapettillverkning","2023","Förädlingsvärde, mnkr",311
"17.24 tapettillverkning","2023","Summa tillgångar, mnkr",747
"17.24 tapettillverkning","2023","Bruttoinvesteringar, mnkr",10
"17.24 tapettillverkning","2023","Nettoinvesteringar, mnkr",9
"17.29 tillverkning av andra pappers- och pappvaror","2022","Antal företag",75
"17.29 tillverkning av andra pappers- och pappvaror","2022","Antal anställda",710
"17.29 tillverkning av andra pappers- och pappvaror","2022","Nettoomsättning, mnkr",2412
"17.29 tillverkning av andra pappers- och pappvaror","2022","Förädlingsvärde, mnkr",733
"17.29 tillverkning av andra pappers- och pappvaror","2022","Summa tillgångar, mnkr",1638
"17.29 tillverkning av andra pappers- och pappvaror","2022","Bruttoinvesteringar, mnkr",78
"17.29 tillverkning av andra pappers- och pappvaror","2022","Nettoinvesteringar, mnkr",61
"17.29 tillverkning av andra pappers- och pappvaror","2023","Antal företag",75
"17.29 tillverkning av andra pappers- och pappvaror","2023","Antal anställda",601
"17.29 tillverkning av andra pappers- och pappvaror","2023","Nettoomsättning, mnkr",1884
"17.29 tillverkning av andra pappers- och pappvaror","2023","Förädlingsvärde, mnkr",574
"17.29 tillverkning av andra pappers- och pappvaror","2023","Summa tillgångar, mnkr",1541
"17.29 tillverkning av andra pappers- och pappvaror","2023","Bruttoinvesteringar, mnkr",114
"17.29 tillverkning av andra pappers- och pappvaror","2023","Nettoinvesteringar, mnkr",108
"18 grafisk produktion och reproduktion av inspelningar","2022","Antal företag",2157
"18 grafisk produktion och reproduktion av inspelningar","2022","Antal anställda",7237
"18 grafisk produktion och reproduktion av inspelningar","2022","Nettoomsättning, mnkr",17130
"18 grafisk produktion och reproduktion av inspelningar","2022","Förädlingsvärde, mnkr",6158
"18 grafisk produktion och reproduktion av inspelningar","2022","Summa tillgångar, mnkr",22299
"18 grafisk produktion och reproduktion av inspelningar","2022","Bruttoinvesteringar, mnkr",433
"18 grafisk produktion och reproduktion av inspelningar","2022","Nettoinvesteringar, mnkr",367
"18 grafisk produktion och reproduktion av inspelningar","2023","Antal företag",2189
"18 grafisk produktion och reproduktion av inspelningar","2023","Antal anställda",6531
"18 grafisk produktion och reproduktion av inspelningar","2023","Nettoomsättning, mnkr",16104
"18 grafisk produktion och reproduktion av inspelningar","2023","Förädlingsvärde, mnkr",5848
"18 grafisk produktion och reproduktion av inspelningar","2023","Summa tillgångar, mnkr",18363
"18 grafisk produktion och reproduktion av inspelningar","2023","Bruttoinvesteringar, mnkr",410
"18 grafisk produktion och reproduktion av inspelningar","2023","Nettoinvesteringar, mnkr",367
"18 grafisk produktion och reproduktion av inspelningar","2022","Antal företag",2157
"18 grafisk produktion och reproduktion av inspelningar","2022","Antal anställda",7237
"18 grafisk produktion och reproduktion av inspelningar","2022","Nettoomsättning, mnkr",17130
"18 grafisk produktion och reproduktion av inspelningar","2022","Förädlingsvärde, mnkr",6158
"18 grafisk produktion och reproduktion av inspelningar","2022","Summa tillgångar, mnkr",22299
"18 grafisk produktion och reproduktion av inspelningar","2022","Bruttoinvesteringar, mnkr",433
"18 grafisk produktion och reproduktion av inspelningar","2022","Nettoinvesteringar, mnkr",367
"18 grafisk produktion och reproduktion av inspelningar","2023","Antal företag",2189
"18 grafisk produktion och reproduktion av inspelningar","2023","Antal anställda",6531
"18 grafisk produktion och reproduktion av inspelningar","2023","Nettoomsättning, mnkr",16104
"18 grafisk produktion och reproduktion av inspelningar","2023","Förädlingsvärde, mnkr",5848
"18 grafisk produktion och reproduktion av inspelningar","2023","Summa tillgångar, mnkr",18363
"18 grafisk produktion och reproduktion av inspelningar","2023","Bruttoinvesteringar, mnkr",410
"18 grafisk produktion och reproduktion av inspelningar","2023","Nettoinvesteringar, mnkr",367
"18.1 grafisk produktion","2022","Antal företag",2091
"18.1 grafisk produktion","2022","Antal anställda",7090
"18.1 grafisk produktion","2022","Nettoomsättning, mnkr",16731
"18.1 grafisk produktion","2022","Förädlingsvärde, mnkr",6048
"18.1 grafisk produktion","2022","Summa tillgångar, mnkr",22124
"18.1 grafisk produktion","2022","Bruttoinvesteringar, mnkr",432
"18.1 grafisk produktion","2022","Nettoinvesteringar, mnkr",367
"18.1 grafisk produktion","2023","Antal företag",2127
"18.1 grafisk produktion","2023","Antal anställda",6489
"18.1 grafisk produktion","2023","Nettoomsättning, mnkr",16024
"18.1 grafisk produktion","2023","Förädlingsvärde, mnkr",5813
"18.1 grafisk produktion","2023","Summa tillgångar, mnkr",18274
"18.1 grafisk produktion","2023","Bruttoinvesteringar, mnkr",409
"18.1 grafisk produktion","2023","Nettoinvesteringar, mnkr",367
"18.11 tryckning av dagstidningar","2022","Antal företag",5
"18.11 tryckning av dagstidningar","2022","Antal anställda",252
"18.11 tryckning av dagstidningar","2022","Nettoomsättning, mnkr",872
"18.11 tryckning av dagstidningar","2022","Förädlingsvärde, mnkr",245
"18.11 tryckning av dagstidningar","2022","Summa tillgångar, mnkr",416
"18.11 tryckning av dagstidningar","2022","Bruttoinvesteringar, mnkr",5
"18.11 tryckning av dagstidningar","2022","Nettoinvesteringar, mnkr",5
"18.11 tryckning av dagstidningar","2023","Antal företag",5
"18.11 tryckning av dagstidningar","2023","Antal anställda",70
"18.11 tryckning av dagstidningar","2023","Nettoomsättning, mnkr",299
"18.11 tryckning av dagstidningar","2023","Förädlingsvärde, mnkr",78
"18.11 tryckning av dagstidningar","2023","Summa tillgångar, mnkr",707
"18.11 tryckning av dagstidningar","2023","Bruttoinvesteringar, mnkr",3
"18.11 tryckning av dagstidningar","2023","Nettoinvesteringar, mnkr",3
"18.12 annan tryckning","2022","Antal företag",1563
"18.12 annan tryckning","2022","Antal anställda",6288
"18.12 annan tryckning","2022","Nettoomsättning, mnkr",14752
"18.12 annan tryckning","2022","Förädlingsvärde, mnkr",5340
"18.12 annan tryckning","2022","Summa tillgångar, mnkr",20650
"18.12 annan tryckning","2022","Bruttoinvesteringar, mnkr",392
"18.12 annan tryckning","2022","Nettoinvesteringar, mnkr",353
"18.12 annan tryckning","2023","Antal företag",1599
"18.12 annan tryckning","2023","Antal anställda",5978
"18.12 annan tryckning","2023","Nettoomsättning, mnkr",14976
"18.12 annan tryckning","2023","Förädlingsvärde, mnkr",5379
"18.12 annan tryckning","2023","Summa tillgångar, mnkr",16800
"18.12 annan tryckning","2023","Bruttoinvesteringar, mnkr",388
"18.12 annan tryckning","2023","Nettoinvesteringar, mnkr",348
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2022","Antal företag",424
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2022","Antal anställda",347
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2022","Nettoomsättning, mnkr",643
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2022","Förädlingsvärde, mnkr",307
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2022","Summa tillgångar, mnkr",685
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2022","Bruttoinvesteringar, mnkr",20
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2022","Nettoinvesteringar, mnkr",7
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2023","Antal företag",423
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2023","Antal anställda",329
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2023","Nettoomsättning, mnkr",590
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2023","Förädlingsvärde, mnkr",276
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2023","Summa tillgångar, mnkr",506
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2023","Bruttoinvesteringar, mnkr",14
"18.13 grafiska tjänster före tryckning (prepress/premedia)","2023","Nettoinvesteringar, mnkr",13
"18.14 bokbindning och andra tjänster i samband med tryckning","2022","Antal företag",99
"18.14 bokbindning och andra tjänster i samband med tryckning","2022","Antal anställda",203
"18.14 bokbindning och andra tjänster i samband med tryckning","2022","Nettoomsättning, mnkr",465
"18.14 bokbindning och andra tjänster i samband med tryckning","2022","Förädlingsvärde, mnkr",155
"18.14 bokbindning och andra tjänster i samband med tryckning","2022","Summa tillgångar, mnkr",373
"18.14 bokbindning och andra tjänster i samband med tryckning","2022","Bruttoinvesteringar, mnkr",15
"18.14 bokbindning och andra tjänster i samband med tryckning","2022","Nettoinvesteringar, mnkr",3
"18.14 bokbindning och andra tjänster i samband med tryckning","2023","Antal företag",100
"18.14 bokbindning och andra tjänster i samband med tryckning","2023","Antal anställda",112
"18.14 bokbindning och andra tjänster i samband med tryckning","2023","Nettoomsättning, mnkr",160
"18.14 bokbindning och andra tjänster i samband med tryckning","2023","Förädlingsvärde, mnkr",81
"18.14 bokbindning och andra tjänster i samband med tryckning","2023","Summa tillgångar, mnkr",262
"18.14 bokbindning och andra tjänster i samband med tryckning","2023","Bruttoinvesteringar, mnkr",4
"18.14 bokbindning och andra tjänster i samband med tryckning","2023","Nettoinvesteringar, mnkr",4
"18.2 reproduktion av inspelningar","2022","Antal företag",66
"18.2 reproduktion av inspelningar","2022","Antal anställda",147
"18.2 reproduktion av inspelningar","2022","Nettoomsättning, mnkr",399
"18.2 reproduktion av inspelningar","2022","Förädlingsvärde, mnkr",110
"18.2 reproduktion av inspelningar","2022","Summa tillgångar, mnkr",175
"18.2 reproduktion av inspelningar","2022","Bruttoinvesteringar, mnkr",1
"18.2 reproduktion av inspelningar","2022","Nettoinvesteringar, mnkr",0
"18.2 reproduktion av inspelningar","2023","Antal företag",62
"18.2 reproduktion av inspelningar","2023","Antal anställda",42
"18.2 reproduktion av inspelningar","2023","Nettoomsättning, mnkr",79
"18.2 reproduktion av inspelningar","2023","Förädlingsvärde, mnkr",35
"18.2 reproduktion av inspelningar","2023","Summa tillgångar, mnkr",88
"18.2 reproduktion av inspelningar","2023","Bruttoinvesteringar, mnkr",1
"18.2 reproduktion av inspelningar","2023","Nettoinvesteringar, mnkr",0
"18.20 reproduktion av inspelningar","2022","Antal företag",66
"18.20 reproduktion av inspelningar","2022","Antal anställda",147
"18.20 reproduktion av inspelningar","2022","Nettoomsättning, mnkr",399
"18.20 reproduktion av inspelningar","2022","Förädlingsvärde, mnkr",110
"18.20 reproduktion av inspelningar","2022","Summa tillgångar, mnkr",175
"18.20 reproduktion av inspelningar","2022","Bruttoinvesteringar, mnkr",1
"18.20 reproduktion av inspelningar","2022","Nettoinvesteringar, mnkr",0
"18.20 reproduktion av inspelningar","2023","Antal företag",62
"18.20 reproduktion av inspelningar","2023","Antal anställda",42
"18.20 reproduktion av inspelningar","2023","Nettoomsättning, mnkr",79
"18.20 reproduktion av inspelningar","2023","Förädlingsvärde, mnkr",35
"18.20 reproduktion av inspelningar","2023","Summa tillgångar, mnkr",88
"18.20 reproduktion av inspelningar","2023","Bruttoinvesteringar, mnkr",1
"18.20 reproduktion av inspelningar","2023","Nettoinvesteringar, mnkr",0
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Antal företag",26
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Antal anställda",2791
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Nettoomsättning, mnkr",236001
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Förädlingsvärde, mnkr",22987
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Summa tillgångar, mnkr",74147
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Bruttoinvesteringar, mnkr",2895
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Nettoinvesteringar, mnkr",2782
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Antal företag",21
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Antal anställda",2915
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Nettoomsättning, mnkr",197107
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Förädlingsvärde, mnkr",15921
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Summa tillgångar, mnkr",76173
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Bruttoinvesteringar, mnkr",6845
"CD-19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Nettoinvesteringar, mnkr",6780
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Antal företag",26
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Antal anställda",2791
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Nettoomsättning, mnkr",236001
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Förädlingsvärde, mnkr",22987
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Summa tillgångar, mnkr",74147
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Bruttoinvesteringar, mnkr",2895
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2022","Nettoinvesteringar, mnkr",2782
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Antal företag",21
"19 tillverkning av stenkolsprodukter och raffinerade petroleumprodukter","2023","Antal anställda",2915
